기준년도,특수일구분명,특수일전후특송기간범위구분명,특수일전후특송기간범위구분코드,기준시,통행시간(분)
2021,추석,D+3,7,00,233.333000000000000000000000
2021,추석,D+3,7,01,293.716000000000000000000000
2021,추석,D+3,7,02,281.900000000000000000000000
2021,추석,D+3,7,03,270.100000000000000000000000
2021,추석,D+3,7,04,258.283000000000000000000000
2021,추석,D+3,7,05,246.466000000000000000000000
2021,추석,D+3,7,06,253.183000000000000000000000
2021,추석,D+3,7,07,266.566000000000000000000000
2021,추석,D+3,7,08,269.316000000000000000000000
2021,추석,D+3,7,09,266.549500000000000000000000
2021,추석,D+3,7,10,264.216500000000000000000000
2021,추석,D+3,7,11,269.641000000000000000000000
2021,추석,D+3,7,12,271.266000000000000000000000
2021,추석,D+3,7,13,266.341500000000000000000000
2021,추석,D+3,7,14,263.083000000000000000000000
2021,추석,D+3,7,15,272.441000000000000000000000
2021,추석,D+3,7,16,271.983000000000000000000000
2021,추석,D+3,7,17,279.772000000000000000000000
2021,추석,D+3,7,18,277.775000000000000000000000
2021,추석,D+3,7,19,286.816000000000000000000000
2021,추석,D+3,7,20,301.116000000000000000000000
2021,추석,D+3,7,21,315.433000000000000000000000
2021,추석,D+3,7,22,329.733000000000000000000000
